number,school
1003,Alabama Agricultural a Mechanical University
1644,Alabama Southern Community College Monroe
184,Alabama Southern Community College Thomasville
1006,Alabama State Universi
3806,American Sentinel University
706,Athens State College
1005,Auburn University
1036,Auburn University Montgomery
720,Bevill State Community College
213,Bevill State Community College
723,Bevill State Community College Brewer
1064,Birmingham Southern College
1517,Bishop State Community College
87,Bishop State Communit College Carver
1356,Calhoun Community College
715,Central Alabama Community College
189,Central Alabama Community College Childersburg
1187,Chattahoochee Valley Community College
3878,Columbia Southern University
1175,Community College of the Air Force
1989,Concordia College
1213,Enterprise State Community College
177,Enterprise State Community College Aviation Campus
1939,Faulkner State Community College
1034,Faulkner University
94,Fredd State Technical College
1262,Gadsden State Community College
3146,George C Wallace State Community College Selma
1264,George C. Wallace Community College
805,Heritage Christian University
2851,Herzing University
1303,Huntingdon College
2108,J. F. Drake State Technical College
1736,Jacksonville State University
1355,Jefferson Davis Community College
1352,Jefferson State Community College
1349,Judson College Alabam
1933,Lawson State Community College
1429,Lurleen B. Wallace Community College
1447,Marion Military Institut
1468,Miles College
3910,National Headquarters Cap
9371,Navy Recruiting District Montgomery
1576,Northeast Alabama Stat Community College
188,Northwest-Shoals Community College
1586,Oakwood University
3450,Prince Institute of Professional Studies
193,Reid State Technical College
3157,Remington College Mobile
1212,Saint Joseph House of Studies
1302,Samford University
1792,Selma University
3338,Shelton State Community College
1721,Snead State Community College
3947,South University Montgomery
1723,Southeastern Bible College
7001,Southern Christian University
86,Southern Union State Community College Opelika
1728,Southern Union State Community College Wadley
1733,Spring Hill College
1739,Stillman College
1800,Talladega College
8045,Three Springs School
187,Trenholm State Technical College Patterson
207,Trenholm State Technical College Trenholm
346,Troy University Dothan
1796,Troy University Florida
1798,Troy University Montgomery
1738,Troy University Troy
1813,Tuskegee University
1735,University North Alabama
1856,University of Alabama Birmingham
1854,University of Alabama Huntsville
1830,University of Alabama Tuscaloosa
1515,University of Mobile
1004,University of Montevallo
1880,University of South Alabama
1737,University of West Alabama
2596,Virginia College
3451,Virginia College Huntsville
103,Wallace Community College Sparks Campus
528,Wallace State Hanceville Alaska
1237,Alaska Bible College
7227,Alaska Christian College
4201,Alaska Pacific University
3453,Charter College
127,Covenant Life College
469,Ilisagvik College
4373,Kenai Peninsula College
4372,Kodiak College University Alaska Anchorage
4509,Matanuska-Susitna College
4636,Prince William Sound Community College
4754,University of Alaska Southeast
4379,University Alaska Southeastern Ketchikan
4896,University of Alaska Anchorage
4866,University of Alaska Fairbanks
4897,University of Alaska Southeast Juneau
2597,American Indian College of the Assemblies of God
3196,Arizona Automotive Institute
4736,Arizona Christian University
4007,Arizona State University
4013,Arizona Western College
4003,Art Institute of Phoenix
7551,Art Institute of Tucson
7243,Benedictine University Mesa
2188,Brookline College Phoenix
3455,Brookline College Tempe
3458,Brown Mackie College Tucson
3040,Bryman School
4122,Central Arizona College
5768,Chamberlain School of Nursing
535,Chandler Gilbert Community College
3826,Chandler Gilbert Community College Sun Lakes
3827,Chandler Gilbert Community College Williams Campus
4097,Cochise College
1712,Coconino County Community College
4550,Dine College
4297,Eastern Arizona College
4305,Embry-Riddle Aeronautical University Arizona
3810,Estrella Mountain Community College
6808,Frank Lloyd Wright School of Architecture
455,Gateway Community College
4338,Glendale Community College
3460,Golf Academy of Arizona
4331,Grand Canyon University
3170,High-Tech Institute
5461,International Baptist College
3454,International Institute of the Americas Tucson
3028,Le Cordon Bleu College of Culinary Arts Scottsdale
3052,Long Technical College
4513,Mesa Community College
3792,Midwestern University
443,Mohave Community College
9352,Navy Recruiting District Phoenix
3883,Northcentral University
4006,Northern Arizona University
325,Northland Pioneer College
2179,Paradise Valley Community College Center
4606,Phoenix College
